"Machine.1"	"Machine.2"	"machine"
150	148	100
147	149	101
150	151	102
150	150	103
149	151	104
148	151	105
154	152	106
153	150	107
148	151	108
150	148	109
149	151	110
152	152	111
148	150	112
151	150	113
152	150	114
144	151	115
149	153	116
154	152	117
150	150	118
150	154	119
152	155	120
151	151	121
149	151	122
147	153	123
145	154	124
152	149	125
151	152	126
153	152	127
149	149	128
153	151	129
151	151	130
147	148	131
148	153	132
150	150	133
151	151	134
150	152	135
149	152	136
152	149	137
149	150	138
150	153	139
153	154	140
150	151	141
150	150	142
153	154	143
150	153	144
152	151	145
152	153	146
151	152	147
151	150	148
151	150	149
152	150	150
154	149	151
148	150	152
148	150	153
152	152	154
147	152	155
152	152	156
150	151	157
152	149	158
153	150	159
147	150	160
151	152	161
146	153	162
153	148	163
147	153	164
154	150	165
148	155	166
149	154	167
151	152	168
150	152	169
150	152	170
151	149	171
150	150	172
153	150	173
152	154	174
150	152	175
149	150	176
150	150	177
147	152	178
152	153	179
151	150	180
149	151	181
152	150	182
153	149	183
151	150	184
150	147	185
150	154	186
149	152	187
146	153	188
150	150	189
153	152	190
147	152	191
153	151	192
146	152	193
150	150	194
152	151	195
149	151	196
149	151	197
151	152	198
150	155	199
